strat,params,tp,sl,mh,train_N,train_EV,train_PnL,train_PF,train_WR,test_N,test_EV,test_PnL,test_PF,test_WR,test_max_dd,test_sharpe,test_t_stat,full_N,full_EV,full_PnL,full_PF,full_WR,full_max_dd,full_final_equity,full_sharpe,full_t_stat,symbol,tf,combined_N,combined_PnL,combined_EV
DIVERGENCE,"{""pivot_period"": 3, ""min_score"": 3, ""use_trend"": true, ""ema_len"": 50, ""max_bars"": 100, ""max_pivots"": 8}",3.0,1.0,6,23,0.5816480502960849,13.377905156809952,1.967059792787892,52.17391304347826,8,0.6495000000000103,5.196000000000082,1.9625787328640467,50.0,-1.3494999999999937,0.8596375570467631,0.8596375570467631,32,0.6632001611503132,21.222405156810023,2.103518178991141,53.125,-3.994111256726215,1.2284352440645412,1.92967986953444,1.92967986953444,ICPUSDT,4h,31,18.573905156810035,0.5991582308648399
DIVERGENCE,"{""pivot_period"": 3, ""min_score"": 3, ""use_trend"": true, ""ema_len"": 50, ""max_bars"": 100, ""max_pivots"": 8}",3.0,1.0,12,23,0.5625869565217457,12.939500000000152,1.7990305051253672,47.82608695652174,8,0.6495000000000103,5.196000000000082,1.9625787328640467,50.0,-1.3494999999999937,0.8596375570467631,0.8596375570467631,32,0.6495000000000071,20.784000000000223,1.9625787328640387,50.0,-3.994111256726253,1.2224479343789867,1.8090359948264816,1.8090359948264816,ICPUSDT,4h,31,18.135500000000235,0.5850161290322656
DIVERGENCE,"{""pivot_period"": 3, ""min_score"": 3, ""use_trend"": true, ""ema_len"": 50, ""max_bars"": 100, ""max_pivots"": 8}",3.0,1.0,24,23,0.5625869565217457,12.939500000000152,1.7990305051253672,47.82608695652174,8,0.6495000000000103,5.196000000000082,1.9625787328640467,50.0,-1.3494999999999937,0.8596375570467631,0.8596375570467631,32,0.6495000000000071,20.784000000000223,1.9625787328640387,50.0,-3.994111256726253,1.2224479343789867,1.8090359948264816,1.8090359948264816,ICPUSDT,4h,31,18.135500000000235,0.5850161290322656
DIVERGENCE,"{""pivot_period"": 3, ""min_score"": 3, ""use_trend"": true, ""ema_len"": 50, ""max_bars"": 100, ""max_pivots"": 8}",3.0,2.0,12,23,0.6929565217391359,15.938000000000129,1.7538905444397208,60.86956521739131,8,0.1497500000000071,1.1980000000000572,1.12750106428268,50.0,-2.349000000000001,0.1585597834244886,0.1585597834244886,32,0.6182656250000055,19.78450000000017,1.6478861708746828,59.375,-4.642821990000011,1.2064145787974436,1.4025057375958374,1.4025057375958374,ICPUSDT,4h,31,17.136000000000184,0.5527741935483931
DIVERGENCE,"{""pivot_period"": 3, ""min_score"": 3, ""use_trend"": true, ""ema_len"": 50, ""max_bars"": 100, ""max_pivots"": 8}",3.0,2.0,24,23,0.6929565217391359,15.938000000000129,1.7538905444397208,60.86956521739131,8,0.1497500000000071,1.1980000000000572,1.12750106428268,50.0,-2.349000000000001,0.1585597834244886,0.1585597834244886,32,0.6182656250000055,19.78450000000017,1.6478861708746828,59.375,-4.642821990000011,1.2064145787974436,1.4025057375958374,1.4025057375958374,ICPUSDT,4h,31,17.136000000000184,0.5527741935483931
DIVERGENCE,"{""pivot_period"": 3, ""min_score"": 2, ""use_trend"": true, ""ema_len"": 50, ""max_bars"": 100, ""max_pivots"": 8}",3.0,1.0,6,25,0.6205626327807022,15.514065819517556,2.0814266119256297,52.0,11,0.1043181818181911,1.1475000000001023,1.1214735616365967,36.36363636363637,-2.7813087138767174,0.1715263668348347,0.1715263668348347,37,0.5218936707977744,19.31006581951765,1.81160559527976,48.64864864864865,-5.289710725316675,1.2044033830544054,1.6459845500215096,1.6459845500215098,ICPUSDT,4h,36,16.66156581951766,0.4628212727643794
DIVERGENCE,"{""pivot_period"": 3, ""min_score"": 3, ""use_trend"": true, ""ema_len"": 50, ""max_bars"": 100, ""max_pivots"": 8}",2.0,2.0,24,24,0.6495000000000046,15.588000000000113,2.106002554278424,75.0,8,0.1497500000000065,1.1980000000000524,1.1700014190435724,62.5,-2.348999999999997,0.2046998001937654,0.2046998001937654,33,0.5586363636363689,18.435000000000173,1.872002270469712,72.72727272727273,-4.642821989999986,1.195542192511546,1.7747961001352064,1.7747961001352064,ICPUSDT,4h,32,16.786000000000165,0.5245625000000051
DIVERGENCE,"{""pivot_period"": 3, ""min_score"": 3, ""use_trend"": true, ""ema_len"": 50, ""max_bars"": 100, ""max_pivots"": 8}",2.0,2.0,12,24,0.6495000000000046,15.588000000000113,2.106002554278424,75.0,8,0.1497500000000065,1.1980000000000524,1.1700014190435724,62.5,-2.348999999999997,0.2046998001937654,0.2046998001937654,33,0.5586363636363689,18.435000000000173,1.872002270469712,72.72727272727273,-4.642821989999986,1.195542192511546,1.7747961001352064,1.7747961001352064,ICPUSDT,4h,32,16.786000000000165,0.5245625000000051
DIVERGENCE,"{""pivot_period"": 3, ""min_score"": 2, ""use_trend"": true, ""ema_len"": 50, ""max_bars"": 100, ""max_pivots"": 8}",3.0,1.0,24,25,0.5695400000000057,14.238500000000144,1.81161113802834,48.0,11,0.1043181818181911,1.1475000000001023,1.1214735616365967,36.36363636363637,-2.7813087138767174,0.1715263668348347,0.1715263668348347,37,0.4874189189189254,18.03450000000024,1.668191922934432,45.94594594594595,-5.289710725316688,1.1884478834574983,1.4678210385932735,1.4678210385932735,ICPUSDT,4h,36,15.386000000000246,0.4273888888888957
DIVERGENCE,"{""pivot_period"": 3, ""min_score"": 2, ""use_trend"": true, ""ema_len"": 50, ""max_bars"": 100, ""max_pivots"": 8}",3.0,1.0,12,25,0.5695400000000057,14.238500000000144,1.81161113802834,48.0,11,0.1043181818181911,1.1475000000001023,1.1214735616365967,36.36363636363637,-2.7813087138767174,0.1715263668348347,0.1715263668348347,37,0.4874189189189254,18.03450000000024,1.668191922934432,45.94594594594595,-5.289710725316688,1.1884478834574983,1.4678210385932735,1.4678210385932735,ICPUSDT,4h,36,15.386000000000246,0.4273888888888957
DIVERGENCE,"{""pivot_period"": 3, ""min_score"": 3, ""use_trend"": true, ""ema_len"": 50, ""max_bars"": 100, ""max_pivots"": 8}",2.0,2.0,6,24,0.6075467841241697,14.581122818980074,2.034562425073086,75.0,8,0.1497500000000065,1.1980000000000524,1.1700014190435724,62.5,-2.348999999999997,0.2046998001937654,0.2046998001937654,33,0.5281249339084889,17.428122818980135,1.824375517666153,72.72727272727273,-4.642821989999986,1.1836998315184568,1.6876699369187185,1.6876699369187185,ICPUSDT,4h,32,15.779122818980126,0.4930975880931289
DIVERGENCE,"{""pivot_period"": 3, ""min_score"": 3, ""use_trend"": true, ""ema_len"": 50, ""max_bars"": 100, ""max_pivots"": 8}",3.0,2.0,6,23,0.5874317819554475,13.510930984975293,1.7111929431049455,60.86956521739131,8,0.1497500000000071,1.1980000000000572,1.12750106428268,50.0,-2.349000000000001,0.1585597834244886,0.1585597834244886,32,0.5424197182804795,17.357430984975345,1.611315758260814,59.375,-4.642821989999986,1.1786340166025544,1.287859607696339,1.287859607696339,ICPUSDT,4h,31,14.70893098497535,0.4744816446766242
