ts,equity
1717200000000,1000.0
1717200000000,1013.293
1720893600000,1027.469519245
1724306400000,1042.588280841619
1724932800000,1036.8898821246494
1725926400000,1052.6347681400641
1726725600000,1046.7003774364541
1729468800000,1040.9053855704717
1729771200000,1035.2465180634215
1730268000000,1029.7205773541116
1731088800000,1044.9889555279528
1731693600000,1061.2721464571182
1733961600000,1078.6375996713905
1735905600000,1097.1572477335494
1737050400000,1090.1770239842886
1739016000000,1095.4740239842886
1739073600000,1088.7770239842885
1739174400000,1087.455768384242
1739491200000,1092.752768384242
1739520000000,1098.190059429242
1739980800000,1103.7713571275688
1740081600000,1097.3428484163364
1740628800000,1103.0719667842034
1740888000000,1096.8587166871666
1740931200000,1102.2960077321666
1740981600000,1095.4797494387758
1741233600000,1088.0445824211574
1741377600000,1080.8583819711241
1741723200000,1073.91281144316
1741968000000,1085.8326435855113
1741968000000,1091.413941283838
1742385600000,1096.7235949988642
1742400000000,1091.6423418192835
1742644800000,1097.0926217129522
1742673600000,1109.8047054986448
1742817600000,1103.1485611125656
1743408000000,1108.743191669218
1743796800000,1101.4825609893062
1744099200000,1107.033067532694
1744243200000,1100.203068410306
1744473600000,1105.7976097877117
1744891200000,1111.4951214969012
1745049600000,1104.8938248951263
1745337600000,1110.7422352019337
1745337600000,1116.4849480077203
1745366400000,1129.1492293719225
1745388000000,1122.6494378174723
1745395200000,1117.4212311743167
1745568000000,1109.8312488024108
1745827200000,1104.7258527333029
1746086400000,1097.3900209211204
1746489600000,1090.2998294371687
1746576000000,1095.7200409808338
1746691200000,1109.2260538059077
1746720000000,1114.847176892521
1746748800000,1132.8063409018794
1746777600000,1138.5763394334417
1746921600000,1133.3232916711863
1747065600000,1128.1936380008663
1747180800000,1121.1593657952149
1747569600000,1126.5368289422474
1747612800000,1119.7678567288315
1747713600000,1125.287741987313
1747828800000,1118.6777729311902
1747843200000,1111.4212084451976
1747872000000,1129.684796958958
1747972800000,1124.6756388533538
1748260800000,1117.5120115411503
1748275200000,1110.4984331169712
1748361600000,1103.5746798653167
1748361600000,1096.7959511146714
1748368800000,1089.9122385374887
1748808000000,1095.2052136828074
1748923200000,1108.2098903953638
1748973600000,1101.4878762266192
1749268800000,1106.9210358186615
1749326400000,1120.790068368918
1749362400000,1139.3632416650773
1749499200000,1134.4717486833736
1749988800000,1140.0488055072112
1750053600000,1133.0484076105636
1750089600000,1125.5967984374684
1750104000000,1120.820206625905
1750406400000,1113.5823828824555
1750680000000,1119.1154542944273
1750752000000,1111.913362254493
1751097600000,1117.5929770628109
1751155200000,1110.6320470748337
1751313600000,1105.967657404924
1751486400000,1099.2398141575945
