strat,params,exit_mode,exit_label,exit_cfg,mh,train_N,train_EV,train_PnL,train_PF,train_WR,test_N,test_EV,test_PnL,test_PF,test_WR,test_max_dd,test_t_stat,full_N,full_EV,full_PnL,full_PF,full_WR,full_max_dd,full_final_equity,full_sharpe,full_t_stat,symbol,tf,combined_N
EMA_CROSS,"{""fast"": 12, ""slow"": 30}",chandelier,CHAN_3.0,"{""mode"": ""chandelier"", ""chandelier_atr_mult"": 3.0, ""label"": ""CHAN_3.0""}",36,24,1.270787309502661,30.49889542806386,1.6936495125628053,37.5,16,0.4584954653151425,7.33592744504228,1.1342961133715792,31.25,-23.086802532014065,0.14791298191980978,41,0.8647343532639069,35.454108483820185,1.3511195245202634,34.146341463414636,-23.086802532014044,1.1884617644424968,0.5341001523687414,0.5341001523687415,ICPUSDT,4h,40
EMA_CROSS,"{""fast"": 5, ""slow"": 30}",atr,ATR_2.5_1.5,"{""mode"": ""atr"", ""tp_atr_mult"": 2.5, ""sl_atr_mult"": 1.5, ""label"": ""ATR_2.5_1.5""}",12,36,0.5257417706439157,18.926703743180965,1.3397228736581792,50.0,22,0.5881124490657638,12.938473879446803,1.2985833903560604,50.0,-9.177527420828552,0.5391635634825958,60,0.567676349293856,34.06058095763136,1.3274268566241467,50.0,-10.942729763181926,1.322730893188082,0.9686042407691914,0.9686042407691914,ICPUSDT,4h,58
EMA_CROSS,"{""fast"": 9, ""slow"": 30}",chandelier,CHAN_2.5,"{""mode"": ""chandelier"", ""chandelier_atr_mult"": 2.5, ""label"": ""CHAN_2.5""}",36,27,0.7833888237075844,21.15149824010478,1.578604092661198,51.85185185185185,19,1.2024034781769324,22.845666085361717,1.5088480658278351,36.84210526315789,-15.43007617404404,0.4459567608608498,48,0.7075613779699973,33.96294614255987,1.3712319495485343,43.75,-23.112971198237183,1.2278224673681108,0.5964471129321389,0.5964471129321389,ICPUSDT,4h,46
BREAKOUT,"{""breakout_period"": 20}",atr,ATR_3.0_1.5,"{""mode"": ""atr"", ""tp_atr_mult"": 3.0, ""sl_atr_mult"": 1.5, ""label"": ""ATR_3.0_1.5""}",12,40,0.3327812483329537,13.311249933318148,1.1342572570112153,35.0,23,0.5480857704493333,12.605972720334664,1.2010673755494332,43.47826086956522,-22.540681166289232,0.3741676083646975,64,0.5249834820193701,33.598942849239684,1.2076025807456212,39.0625,-34.728674276838575,1.1951417000406852,0.5714157531679057,0.5714157531679057,ICPUSDT,4h,63
EMA_CROSS,"{""fast"": 9, ""slow"": 30}",atr,ATR_3.0_1.5,"{""mode"": ""atr"", ""tp_atr_mult"": 3.0, ""sl_atr_mult"": 1.5, ""label"": ""ATR_3.0_1.5""}",12,27,0.9276085528210536,25.045430926168446,1.6469717563982273,51.85185185185185,20,0.311942040059554,6.23884080119108,1.160262632565049,45.0,-10.260246549150489,0.2887505621508749,49,0.6338123267419075,31.056804010353463,1.375896639639358,48.97959183673469,-15.311039178910013,1.2984933263063407,0.977707770397903,0.9777077703979032,ICPUSDT,4h,47
BREAKOUT,"{""breakout_period"": 20}",atr,ATR_2.5_1.5,"{""mode"": ""atr"", ""tp_atr_mult"": 2.5, ""sl_atr_mult"": 1.5, ""label"": ""ATR_2.5_1.5""}",36,38,0.42050663246615194,15.979252033713774,1.1684309777207353,36.84210526315789,23,0.3716924974040439,8.54892744029301,1.1299674078558934,43.47826086956522,-22.540681166289243,0.26542523818655644,62,0.4979238651128364,30.871279636995855,1.1921663957478814,40.32258064516129,-34.50378127581566,1.189819901408831,0.5749321782226714,0.5749321782226714,ICPUSDT,4h,61
BREAKOUT,"{""breakout_period"": 20}",atr,ATR_2.5_1.5,"{""mode"": ""atr"", ""tp_atr_mult"": 2.5, ""sl_atr_mult"": 1.5, ""label"": ""ATR_2.5_1.5""}",24,38,0.42050663246615194,15.979252033713774,1.1684309777207353,36.84210526315789,23,0.3716924974040439,8.54892744029301,1.1299674078558934,43.47826086956522,-22.540681166289243,0.26542523818655644,62,0.4979238651128364,30.871279636995855,1.1921663957478814,40.32258064516129,-34.50378127581566,1.189819901408831,0.5749321782226714,0.5749321782226714,ICPUSDT,4h,61
EMA_CROSS,"{""fast"": 5, ""slow"": 30}",atr,ATR_2.0_1.5,"{""mode"": ""atr"", ""tp_atr_mult"": 2.0, ""sl_atr_mult"": 1.5, ""label"": ""ATR_2.0_1.5""}",12,36,0.5297094377882131,19.069539760375672,1.3663485529073562,52.77777777777778,22,0.44200693260057683,9.72415251721269,1.224405942615925,50.0,-9.177527420828556,0.4284680399849497,60,0.49140039642781264,29.484023785668757,1.2937655926395941,51.66666666666667,-12.30259632925944,1.2739416546076523,0.904005057593217,0.9040050575932171,ICPUSDT,4h,58
EMA_CROSS,"{""fast"": 12, ""slow"": 30}",hybrid,HYBRID_1.0_2.5_noTP,"{""mode"": ""hybrid"", ""initial_sl_atr_mult"": 1.0, ""chandelier_atr_mult"": 2.5, ""tp_atr_mult"": null, ""label"": ""HYBRID_1.0_2.5_noTP""}",12,26,1.2009141134039991,31.22376694850398,1.9894652121456722,38.46153846153847,19,0.007637939315690386,0.14512084699811734,1.0040009552452933,21.052631578947366,-17.777981526809043,0.005128843003519046,46,0.6391578828684645,29.401262611949367,1.4212494110332543,30.434782608695656,-20.310399565527533,1.2576719852991045,0.7782627503925995,0.7782627503925996,ICPUSDT,4h,45
EMA_CROSS,"{""fast"": 9, ""slow"": 30}",hybrid,HYBRID_1.0_2.5_noTP,"{""mode"": ""hybrid"", ""initial_sl_atr_mult"": 1.0, ""chandelier_atr_mult"": 2.5, ""tp_atr_mult"": null, ""label"": ""HYBRID_1.0_2.5_noTP""}",12,28,0.6415316435279387,17.96288601878228,1.4486507659825372,39.285714285714285,20,0.826773798695192,16.53547597390384,1.5733533269153719,35.0,-10.463357546969062,0.5885076282588877,50,0.5818819921878364,29.094099609391822,1.3916721257386993,36.0,-13.160377768947637,1.252783150864779,0.7654959489166188,0.7654959489166188,ICPUSDT,4h,48
EMA_CROSS,"{""fast"": 9, ""slow"": 30}",hybrid,HYBRID_1.5_2.5_3.0,"{""mode"": ""hybrid"", ""initial_sl_atr_mult"": 1.5, ""chandelier_atr_mult"": 2.5, ""tp_atr_mult"": 3.0, ""label"": ""HYBRID_1.5_2.5_3.0""}",24,27,1.111578631018706,30.012623037505058,1.9458506264184028,51.85185185185185,20,0.24742637621841412,4.9485275243682825,1.1255481441464272,35.0,-12.806078703812823,0.210581053609465,49,0.5717055016062911,28.01356957870826,1.3587170112997127,42.857142857142854,-16.04853656482048,1.2591964059262954,0.8724035202773143,0.8724035202773143,ICPUSDT,4h,47
EMA_CROSS,"{""fast"": 9, ""slow"": 30}",atr,ATR_3.0_1.5,"{""mode"": ""atr"", ""tp_atr_mult"": 3.0, ""sl_atr_mult"": 1.5, ""label"": ""ATR_3.0_1.5""}",24,27,0.619902205138206,16.737359538731564,1.3230205699113928,48.148148148148145,19,0.9212592118212136,17.50392502460306,1.4349847089973788,47.368421052631575,-12.602018647055962,0.6704792153776318,48,0.5706094492736784,27.389253565136563,1.2769178509631454,45.83333333333333,-17.521010098431855,1.2328753698753268,0.7482203136178986,0.7482203136178986,ICPUSDT,4h,46
BREAKOUT,"{""breakout_period"": 50}",atr,ATR_2.5_1.5,"{""mode"": ""atr"", ""tp_atr_mult"": 2.5, ""sl_atr_mult"": 1.5, ""label"": ""ATR_2.5_1.5""}",36,21,1.2016349673351203,25.23433431403753,1.4575524348376998,38.095238095238095,14,0.527346673556351,7.382853429788915,1.172481287750451,42.857142857142854,-13.243155192081076,0.2670299181949374,36,0.7528038939886745,27.100940183592282,1.2619188910100478,38.88888888888889,-23.085752269166328,1.1808578523369355,0.5667964354704795,0.5667964354704795,ICPUSDT,4h,35
BREAKOUT,"{""breakout_period"": 50}",atr,ATR_2.5_1.5,"{""mode"": ""atr"", ""tp_atr_mult"": 2.5, ""sl_atr_mult"": 1.5, ""label"": ""ATR_2.5_1.5""}",24,21,1.2016349673351203,25.23433431403753,1.4575524348376998,38.095238095238095,14,0.527346673556351,7.382853429788915,1.172481287750451,42.857142857142854,-13.243155192081076,0.2670299181949374,36,0.7528038939886745,27.100940183592282,1.2619188910100478,38.88888888888889,-23.085752269166328,1.1808578523369355,0.5667964354704795,0.5667964354704795,ICPUSDT,4h,35
EMA_CROSS,"{""fast"": 9, ""slow"": 30}",hybrid,HYBRID_2.0_2.5_noTP,"{""mode"": ""hybrid"", ""initial_sl_atr_mult"": 2.0, ""chandelier_atr_mult"": 2.5, ""tp_atr_mult"": null, ""label"": ""HYBRID_2.0_2.5_noTP""}",12,27,1.2594007325423422,34.00381977864324,1.99778030375451,51.85185185185185,20,0.04091736689097347,0.8183473378194694,1.0183662738415193,35.0,-16.77810120285857,0.026514545338661565,49,0.5373728068046294,26.331267533426843,1.302215571851353,42.857142857142854,-22.608120423223884,1.2039945148802866,0.6412074548678166,0.6412074548678166,ICPUSDT,4h,47
EMA_CROSS,"{""fast"": 9, ""slow"": 30}",hybrid,HYBRID_1.5_2.5_3.0,"{""mode"": ""hybrid"", ""initial_sl_atr_mult"": 1.5, ""chandelier_atr_mult"": 2.5, ""tp_atr_mult"": 3.0, ""label"": ""HYBRID_1.5_2.5_3.0""}",36,27,1.04867681436872,28.31427398795544,1.8923269970313217,51.85185185185185,20,0.24742637621841412,4.9485275243682825,1.1255481441464272,35.0,-12.806078703812823,0.210581053609465,49,0.537045316921605,26.31522052915864,1.336969454513476,42.857142857142854,-16.048536564820477,1.2383839794750888,0.8213801228099364,0.8213801228099364,ICPUSDT,4h,47
