symbol,tf,strat,params,tp,sl,mh,final_equity_mean,final_equity_median,final_equity_5pct,final_equity_95pct,prob_profit,prob_doubling,max_dd_mean,max_dd_5pct_worst,max_dd_median,total_pnl_mean,win_rate_mean,n_per_sim,n_sims
ICPUSDT,6h,EMA_CROSS,"{'fast': 5, 'slow': 80}",7.0,2.0,36,3.19468732022414,2.8853338657134513,1.425728323475937,5.839227137142192,99.53,82.93,-19.67316042407268,-31.04158578577319,-18.79233583311614,116.80425990000079,39.0978,100,10000
ICPUSDT,4h,EMA_CROSS,"{'fast': 5, 'slow': 30}",7.0,3.0,36,2.452567321001876,2.1899267152095123,0.9944377987120107,4.847408251856659,94.87,57.440000000000005,-27.096105953280436,-43.30817981388908,-25.552243837297528,90.12263780265734,42.3766,100,10000
SOLUSDT,4h,MACD_CROSS,"{'fast': 12, 'slow': 26, 'signal': 9}",3.0,3.0,48,1.4137313839090193,1.3860803411819649,0.856320483880058,2.2435743957751813,85.44,7.720000000000001,-21.382100676028852,-35.76708208210286,-20.075939255754363,34.68573970000069,61.6201,100,10000
XRPUSDT,4h,BREAKOUT,{'breakout_period': 30},3.0,2.0,24,1.3543083629881187,1.3076540434872603,0.8771736198142506,1.9493964009208133,86.66,4.6,-17.874014265011468,-30.327476485039323,-16.72752593840449,30.341812750000525,53.0749,100,10000
SOLUSDT,1h,ADX_TREND,"{'adx_period': 14, 'adx_thresh': 30, 'adx_rising': True}",5.0,1.5,48,1.178943897753518,1.1355639505425623,0.7341418800800136,1.792332741359356,67.2,1.8499999999999999,-22.29233126513823,-37.4686324162875,-20.84698335446189,16.474447018407528,35.7017,100,10000
