strat,n_configs,avg_full_pnl,max_full_pnl,avg_full_ev,avg_full_n,avg_max_dd,avg_t_stat
EMA_CROSS,30,5.404667457194046,24.217404107608587,0.12112995846039128,45.36666666666667,-9.545467712859649,0.3887863264323327
DIVERGENCE,30,14.408041196289183,21.222405156810023,0.4385969923277927,32.9,-4.834085097899384,1.3023016215712861
BREAKOUT,5,6.099352361491341,14.83400000000026,0.13168109387785115,46.0,-12.527304075130825,0.3716677911728049
MACD_CROSS,4,3.4106891491785607,7.3467146911406465,0.027110133870459824,121.0,-22.262517824679605,0.12414928395401892
EMA_PULLBACK,2,-7.6966764235439555,-6.245920441295775,-0.08284393909031525,92.5,-18.525201830591136,-0.4512762925969097
