ts,equity
1739188800000,1000.0
1739188800000,744.1275
1739491200000,750.74875
1740110400000,757.2144668375
1740657600000,753.8407168375
1740657600000,750.5124955937501
1740888000000,747.2291886956846
1740888000000,743.9901900242083
1740916800000,750.6271513721496
1740931200000,757.4237651783995
1740974400000,754.228476793995
1740974400000,751.0763088263379
1741968000000,758.0529309492465
1742011200000,764.8656722184878
1742212800000,761.7560427575543
1742212800000,758.6883777461961
1742371200000,764.6276647492131
1742371200000,769.5738779473265
1742400000000,763.2223114728506
1742659200000,764.7321764189253
1742659200000,766.2517365523545
1742716800000,773.2449132741119
1744344000000,780.4233042813448
1744358400000,786.7311280804195
1744358400000,791.9842571699058
1744473600000,798.9774338916632
1745092800000,792.4421755877188
1745193600000,789.0721117397954
1745193600000,794.3657031936599
1745337600000,801.544094200893
1745352000000,806.9514317011224
1745352000000,813.7596052997874
1745366400000,816.9303996136061
1745395200000,810.3951413096617
1745827200000,804.0133962232769
1746705600000,809.6832145182436
1746705600000,816.8218677322116
1746720000000,824.1012705964927
1746720000000,831.1276744547594
1746777600000,838.3401726192124
1746921600000,831.773862916393
1747065600000,825.3617958284929
1747886400000,832.8339936776345
1747900800000,840.1617141219743
1747900800000,846.2642088415371
1747972800000,840.0027612095319
1748361600000,836.0877999576369
1748361600000,832.2256711078362
1748404800000,825.4229289622615
1748476800000,818.7799832296863
1748505600000,814.9699738087138
1748505600000,811.2113804648773
1748908800000,818.4883694822636
1748908800000,824.5486152831552
1748966400000,831.8626052488785
1749340800000,839.370306238844
1749499200000,833.2559400117144
1750104000000,827.2852002472603
1750838400000,823.397343136726
1750838400000,819.5619526578986
1750838400000,812.7268882000325
1751198400000,820.2524039685507
1751313600000,814.4219168811635
1751486400000,807.5706337220101
1751904000000,801.8771047763056
1752004800000,807.9016168262674
1752004800000,815.4868514970549
1752062400000,823.0302243162321
1752062400000,829.2988911479111
1752177600000,835.7335836206273
1752235200000,842.3386989234832
1752696000000,836.325354904189
1752739200000,842.9461432694901
1752782400000,849.7422832146462
1753660800000,857.4854422629393
1754596800000,853.518146846627
1754596800000,861.4663834623142
1754596800000,857.5526266976451
1754611200000,851.3653724833515
1755907200000,844.1292412539374
1755921600000,844.3706214127078
1755921600000,844.61220522077
1757260800000,851.4244715045079
1757304000000,854.1330192685039
1757404800000,847.9310835206991
1757505600000,846.9607474023273
1757505600000,845.9936967096787
1757635200000,852.8221275976608
1757764800000,846.6054754790132
1758182400000,854.1443550340149
1758182400000,860.4227021714735
1758211200000,853.2929238776619
1759320000000,861.1429243139223
1759320000000,867.9875581626104
1759464000000,874.4008112841851
1759464000000,882.4754950970616
1760990400000,876.2440916875753
1761393600000,884.30199938539
1761408000000,891.1628746422602
1761494400000,886.9395832782676
1761494400000,882.773285231232
1761984000000,889.3175765952162
1761984000000,897.5572456901007
1761998400000,890.2212691263414
1762747200000,897.2638546643899
1764014400000,890.8522346269198
1765310400000,886.5426512256365
1765310400000,882.2912256523534
1766275200000,875.1275711780769
1766678400000,868.1321909474011
1766836800000,870.6754019760698
1766980800000,864.4143908932799
1767340800000,872.1837738471138
1767369600000,879.0772476279174
1767499200000,886.1532950618055
1767585600000,893.4167516119802
1768320000000,886.343450030274
1768348800000,879.730747450122
1768838400000,875.5366948649505
1768838400000,871.3992410194157
1771070400000,878.6799327884867
1771084800000,886.4677514574612
1772049600000,894.4618305038837
1772049600000,887.8334368576841
1772452800000,894.3324206472575
1772452800000,902.5150446932782
1772640000000,896.0423520138279
1773086400000,888.7644855089411
1773216000000,896.7775334445262
1773633600000,903.904072063766
1775030400000,896.6089361470722
1775260800000,896.5887908152017
1775289600000,892.3090436115713
1775289600000,888.0870515964536
1775433600000,896.1185798827445
1775448000000,902.7503535992224
1775448000000,911.1001684067744
1775606400000,904.6121168861984
1776124800000,911.7555658362462
1776124800000,904.4436052766362
1776283200000,911.3972958765244
1776283200000,920.1524240247923
1776297600000,928.2030100623242
1776355200000,935.5356532578141
1776873600000,928.2063423857278
1777867200000,935.7331906362502
1777982400000,943.8028796465389
1778443200000,936.9503833862778
1778788800000,930.2588522631702
1779465600000,922.9121499086175
1779710400000,931.0009872204834
1780228800000,926.4218039414718
1780228800000,921.9044167408103
1780286400000,914.5402816361104
1780300800000,923.2863666842313
1780300800000,930.5700694712599
1781352000000,938.6781005210826
1781467200000,946.1183118717474
1781467200000,955.4859998483043
1781481600000,962.8534831094934
