strategy,symbol,strat,exit_label,capital_alloc,expected_trades_per_month,avg_pnl_per_trade_pct,avg_final_equity_1mo,median_final_equity_1mo,p5_final_equity_1mo,p95_final_equity_1mo,prob_profit_1mo_pct,avg_return_1mo_pct
ICPUSDT_EMA_CROSS_ATR_2.0_1.5,ICPUSDT,EMA_CROSS,ATR_2.0_1.5,50.0,3,0.8287572887924266,51.26814370853915,51.479985512065724,44.86466997290836,57.49869682646484,63.38,2.536287417078298
ICPUSDT_EMA_CROSS_CHAN_3.5,ICPUSDT,EMA_CROSS,CHAN_3.5,50.0,2,2.1064818193437045,52.13859213542679,49.54083633282275,43.47388271859211,71.80981393462517,45.89,4.2771842708535734
ICPUSDT_EMA_CROSS_HYBRID_1.0_2.5_noTP,ICPUSDT,EMA_CROSS,HYBRID_1.0_2.5_noTP,50.0,3,1.077799483729477,51.65493573114013,49.20588798906442,45.89600402057015,71.05683065373188,41.74,3.309871462280256
ICPUSDT_DIVERGENCE_CHAN_3.5,ICPUSDT,DIVERGENCE,CHAN_3.5,50.0,2,3.709394402529289,53.79776679391528,50.637584435436814,44.60161570135813,76.96907022561487,53.14,7.595533587830561
